|pm_ra   |pm_dec  |hip_number|vmag |ra_deg      |dec_deg     |bv_color|
|   17.85|  -32.92|     82273| 1.91|252.16610742|-69.02763503|   1.447|
|   -9.73|  -13.35|     72518| 6.50|222.40442270|-68.93615786|  -0.101|
|  411.11|  127.43|      5896| 4.25|018.93956391|-68.87623708|   0.480|
|  -50.90|   19.68|     29134| 5.06|092.18476724|-68.84345717|  -0.072|
|    5.46|   -1.30|     34270| 6.47|106.55959722|-68.83757671|   1.039|
|   -6.72|   -1.17|     62212| 6.16|191.25860848|-68.83074797|   0.688|
|   44.78|   63.39|    113969| 5.53|346.21728516|-68.82037973|   0.395|
|  -64.57|  -49.78|    102773| 5.41|312.32614627|-68.77640032|   1.122|
|   36.46|  -73.83|     98346| 6.38|299.72052643|-68.76240414|   0.164|
|  -20.83|   -4.46|     93574| 5.89|285.87367886|-68.75553290|   0.553|
| -109.18|  -28.45|     45571| 5.38|139.32250201|-68.68957252|   0.415|
|   16.20|    1.01|     44283| 5.89|135.28536477|-68.68391841|   1.634|
|  -19.74|   22.09|     49764| 5.80|152.37583168|-68.68283264|   0.015|
|  -66.48|  -32.00|     74946| 2.87|229.72787007|-68.67946723|   0.014|
|  -50.07|    2.38|     11001| 4.08|035.43759585|-68.65942390|   0.034|
|   -5.01|   -1.62|     59046| 6.23|181.58305555|-68.65140083|   1.237|
|  -10.85|  -19.76|     25482| 6.02|081.74925231|-68.62249571|   0.346|
|  -29.88|   30.58|     39794| 4.35|121.98266997|-68.61713647|  -0.113|
|   -8.90|   -6.27|     77982| 5.11|238.87338903|-68.60298616|   1.108|
|   17.19|  -13.42|     95999| 5.98|292.79559581|-68.43388713|   1.638|
|  154.94|  -42.59|     94150| 5.31|287.46925968|-68.42434424|   0.901|
|  -20.76|   -0.77|     95369| 6.33|291.02297340|-68.37107984|   1.238|
|  -39.05|   -6.40|     58884| 5.34|181.16227840|-68.32889673|  -0.012|
|  123.08|    9.26|     75565| 5.89|231.56053440|-68.30918936|   1.000|
|   -2.45|  -48.14|     60329| 5.73|185.55014315|-68.30719873|   1.038|
|  -14.06|  -11.79|     81710| 5.89|250.34637667|-68.29609440|  -0.078|
|   -7.94|  -21.06|     83556| 6.47|256.14043478|-68.27864298|   1.570|
|   87.40|    0.56|     12394| 4.12|039.89676530|-68.26694760|  -0.061|
|    1.43|  -13.23|     59389| 6.48|182.75507582|-68.26093422|   1.352|
|    0.44|  -16.97|     89674| 6.32|274.50398642|-68.22921619|  -0.026|
|    1.51|   26.84|     42850| 6.33|130.97635905|-68.21164561|   1.501|
|  -15.51|    5.30|    103752| 6.36|315.36679488|-68.20960595|   0.101|
|   -7.96|   -3.80|     70492| 5.56|216.27641298|-68.19532385|   0.435|
|  -40.40|  -10.32|     62322| 3.04|191.57029013|-68.10809405|  -0.178|
| -231.26|  -26.37|     59929| 4.06|184.39431802|-67.96067161|   1.603|
|   -4.11|    8.50|     35228| 3.97|109.20762844|-67.95717248|   0.760|
|  -44.74|  -84.65|     79797| 5.95|244.27284183|-67.94107968|   0.159|
| -348.26| -281.37|     71530| 6.03|219.44498594|-67.93132799|   0.506|
|  -27.00|  234.21|     33682| 5.18|104.96074141|-67.91701197|   1.396|
|  -36.92|  -10.63|     64661| 4.79|198.81249082|-67.89456330|  -0.078|
|    0.13|  -51.30|    114367| 6.47|347.43638552|-67.87615966|   0.394|
|  -43.14|  -20.85|     86510| 6.48|265.18570532|-67.85412144|   0.999|
|   25.19|   45.66|     10418| 5.57|033.56042796|-67.84155199|   1.556|
|   14.18|   -6.64|     55140| 6.06|169.32925694|-67.82349927|   1.753|
|   -9.56|   -0.02|     64117| 6.34|197.11599927|-67.79676243|   1.710|
|  -37.10|   -7.78|     84969| 4.76|260.49806157|-67.77064960|   1.194|
|  -11.89|   -2.40|     61404| 6.11|188.72693180|-67.75688853|   1.514|
|   43.01|  -12.65|     10513| 5.67|033.86899336|-67.74633515|   1.306|
|   36.16|  -58.80|     71002| 5.84|217.81827528|-67.71705401|   1.006|
|  -52.82|  -49.20|     82539| 6.33|253.07409716|-67.68151371|   1.289|
|  -16.82|  -14.59|     67942| 5.74|208.70473728|-67.65206440|   1.490|
|   76.00|   73.17|      8928| 4.68|028.73339519|-67.64748114|   0.931|
| -751.13|  257.04|     60417| 6.36|185.81266771|-67.63217115|   0.887|
|  -84.13|  -10.46|     56727| 5.94|174.45211345|-67.62035361|   1.013|
|   66.50|   44.02|     12876| 4.83|041.38555249|-67.61672400|   0.058|
|  -31.28|   -5.16|     60320| 5.15|185.53077773|-67.52209279|   0.195|
|  151.41|  -70.67|    110935| 5.56|337.15600483|-67.48888731|   0.208|
|   -6.32|  -10.16|     75091| 6.27|230.16899793|-67.48150132|  -0.090|
